locality,decimalLat,decimalLon,institutio,year,n
8 MI S HARLOWTON,46.317437,-109.828234,UMMZ,1932,1
"Ashland, 10 mi SW of, Otter Creek",45.498155,-106.1734572,USNM,1916,1
"Ashland, 10 mi W of",45.587954,-106.2724612,USNM,1916,1
BILLINGS,45.781399,-108.510473,UMMZ,1904,1
BILLINGS,45.78398,-108.510808,UMMZ,1904,1
Big Timber,45.8354289,-109.9595708,USNM,1922,1
"Big Timber Creek, near mouth",45.853329,-109.9355703,USNM,1917,1
Billings,45.786158,-108.527811,CAS,1904,1
Bowers,45.0200618,-105.4804314,USNM,1894,1
"Brockton, 6 mi N of",48.2308559,-104.9114541,USNM,1922,1
CASCADE,47.2692,-111.70053,UMMZ,1927,1
"Calypso, north side of Yellowstone River",46.7712546,-105.4214508,USNM,1918,1
"Capitol, 15 mi W of",45.4364658,-104.3744038,USNM,1916,1
Cartersville,46.293024,-106.466915,MVZ,1941,1
"Cohagen, 15 mi SE of",46.8961483,-106.4024816,USNM,1918,1
"Cohagen, divide betwn Dry and Porcupine Creeks, 30 mi SW of",46.9194437,-107.1345036,USNM,1918,1
"Crazy Mountains, Big Timber Creek",46.0371261,-110.2255812,USNM,1917,1
Forsyth,46.267706,-106.679336,CAS,1903,1
"Frenchmans River, near",48.9640409,-107.4065411,USNM,1874,1
Glasgow,48.18,-106.63,USNM,1919,1
"Hardin, 8 mi S of",45.6143456,-107.6065002,USNM,1917,1
"Heath, 15 mi S of, Big Snowy Mountains",46.78363,-109.2725645,USNM,1918,1
"Hilger, 5 mi NW of, Mocassin Mountains",47.2722275,-109.4605772,USNM,1919,1
"Hilger, 7 mi NE of",47.3218288,-109.2485717,USNM,1919,1
Hysham,46.293267,-107.228992,MVZ,1941,1
KEVIN,48.754928,-111.983126,UMMZ,1933,1
"Lake Basin, 3 mi S of",45.8979345,-109.0885467,USNM,1917,1
"Leedy, 14 mi E of",48.3526348,-108.2555576,USNM,1919,1
"Lewistown, 1 mi SE of",47.0542283,-109.4165727,USNM,1918,1
"Lismas, 18 mi S of, on Dry Creek",47.75,-106.5,USNM,1919,1
MILES CITY,46.40633,-105.840035,UMMZ,1904,1
"Miles City, 3 mi S of, on Tongue River",46.3611,-105.83,USNM,1918,1
Moorhead,45.0657592,-105.8794435,USNM,1916,1
Painted Robe Creek,46.1871339,-108.9905479,USNM,1894,1
Powderville,45.758886,-105.115425,CAS,1903,1
"Powderville, 12 mi SW of",45.6268598,-105.2524318,USNM,1916,1
"Powderville, 12 mi W of",45.7559586,-105.3654367,USNM,1916,1
"Powderville, 8 mi SW of",45.6745597,-105.2324318,USNM,1916,1
Rosebud,46.2749,-106.443172,CAS,1910,1
Rosebud Creek,45.2032512,-107.0664794,USNM,1894,1
"Roundup, 8 mi S of",46.3246362,-108.5665375,USNM,1908,1
ST MARYS GLACIER NAT PARK,48.738956,-113.420962,UMMZ,1927,1
ST MARYS GLACIER NAT PARK,48.742226,-113.427622,UMMZ,1927,1
SWEET GRASS CR,46.03693,-109.791182,UMMZ,1942,1
SWIMMING WOMAN CANYON BIG SNOWY MT SOUTH SIDE,46.718925,-109.340677,UMMZ,1942,1
Shriver,45.206412,-108.527736,MVZ,1947,1
South Fork Cutbank Creek,48.556537,-113.273739,MVZ,1942,1
St. Mary's River,48.883497,-113.4267199,USNM,1874,1
"Sykes, 25 mi SW of, Boxelder Creek",45.3813645,-104.6494113,USNM,1916,1
"Terry, 25 mi N of",47.1414543,-105.3254526,USNM,1909,1
"Terry, Yellowstone River",46.8003552,-105.3074477,USNM,1918,1
VOLTA DAM 13.5 MI BELOW GREAT FALLS,47.587897,-111.058893,UMMZ,1942,1
"Yellowstone River, 7 mi E Glendive",47.198491,-104.654479,MVZ,1947,1
"Yellowstone River, 7 mi NE Glendive",47.198491,-104.654479,MVZ,1947,1
"Yellowstone River, mouth of",47.9994608,-104.0524247,USNM,1873,1
