locality,decimalLat,decimalLon,institutio,year,n
"Chamberlain, 5 mi E",43.81,-99.33,PSM,1947,1
Cheyenne River Agency,44.77,-100.72,USNM,1892,1
Clear Lake,44.75,-96.66,UNSM,1936,1
Crow Buttes,45.23,-103.55,UNSM,1912,1
Custer,43.77,-103.6,USNM,1893,1
DOG EAR LAKE,43.168892,-99.89234,UMMZ,1934,1
Deadwood,44.38,-103.73,SDNHM,1931,1
Deadwood,44.38,-103.73,USNM,1919,1
"Deadwood, 15 mi S of",44.38,-103.73,SDNHM,1931,1
"Dupree, near",45.05,-101.6,USNM,1941,1
FOUNTAINPERISH CR 7 MI S KADOKA,43.732492,-101.509866,UMMZ,1934,1
Ft. Pierre,44.352836,-100.374061,MSB,1932,1
GRACE COOLIDGE CR 4 MI ABOVE ST GAME LODGE,43.804432,-103.418333,UMMZ,1934,1
GRACE COOLIDGE CR 6 MI ABOVE GAME LODGE,43.804432,-103.418333,UMMZ,1934,1
GRACE COOLIDGE CR STATE GAME LODGE,43.765434,-103.382223,UMMZ,1934,1
HILL CITY,43.932486,-103.575193,UMMZ,1949,1
Hill City,43.93,-103.57,USNM,1891,1
Kimball; 11 mi W of,43.75,-98.96,SDNHM,1939,1
Lake Andes,43.16,-98.54,USNM,1911,1
Lake Poinsett,44.56467,-97.07712,TNHC,1925,1
Lucas,43.29,-99.22,UNSM,1930,1
Martin,43.1725,-101.73265,TNHC,1924,1
Mayo,43.680328,-103.603694,UNSM,1914,1
"Murdo, 10 mi W",43.89,-100.71,PSM,1947,1
N of Sioux Falls,43.56,-96.72,UNSM,1916,1
Near Elk Point,42.68,-96.68,UNSM,1933,1
Near Volin,42.96,-97.18,UNSM,1915,1
Newunderwood; 5 mi W of,44.07375,-102.93235,SDNHM,1939,1
Pierre,44.3643,-100.342,USNM,1938,1
"Pierre, ca. 2 mi W and 12 mi N of",44.37,-100.35,USNM,1935,1
"Pierre, ca. 30 mi NW of, near old Ft. Sully",44.6773,-100.749,USNM,1935,1
"Pierre, ca. 9 mi W and 5 mi N of",44.4425,-100.502,USNM,1935,1
Pierre;  (?),44.37,-100.35,SDNHM,1934,1
"Presho, 4 mi E",43.91,-100.06,PSM,1947,1
"Quinn's Draw, Bad Lands",43.99,-102.13,USNM,1894,1
"Quinn, 20 mi N of",43.99,-102.13,SDNHM,1938,1
Rapid City,44.06772,-103.22964,TNHC,1930,1
"Rapid Creek, Rapid City",43.9,-102.63,USNM,1892,1
Redfield,44.87581,-98.51871,TNHC,1928,1
Rosebud Agency,43.23,-100.85,USNM,1891,1
Sioux Falls,43.56,-96.72,UNSM,1916,1
Thatcher,45.02,-100.93,USNM,1947,1
VERMILLION,42.779442,-96.92921,UMMZ,1913,1
Vermillion,42.78,-96.93,UNSM,1913,1
Vermillion,42.78,-96.93,UNSM,1916,1
WIND CAVE NATIONAL PARK,43.602143,-103.431172,UMMZ,1949,1
WIND CAVE NATL PARK SHIRT-TAIL CANYON,43.57391,-103.571278,UMMZ,1948,1
Wall,43.99,-102.24,SDNHM,1935,1
"Watertown, NW of, McMillon Lake",44.9,-97.11,USNM,1929,1
Whitlock Crossing,45.0487,-100.265,USNM,1947,1
Winner,43.38,-99.86,KU,1942,1
Winner,43.38,-99.86,UNSM,1942,1
Yankton,42.88746,-97.3887,TNHC,1923,1
Yankton,42.88746,-97.3887,TNHC,1933,1
"Yankton, trails W of town",42.86708,-97.51968,TNHC,1924,1
