locality,decimalLat,decimalLon,institutio,year,n
"MONARCH, 2 MI N OF",47.12725,-110.8386,KU,1946,4
Billings,45.783172,-108.5005282,KU,1891,3
Billings,45.783249,-108.500687,FMNH,1941,3
"RAYMOND, 7 MI N OF",48.9775585,-104.5801539,KU,1948,3
"24MI N ROUNDUP,8MI SW FLATWILLOW",46.8012349,-108.5374433,UMMZ,1942,2
Billings,45.783249,-108.500687,FMNH,1938,2
CROW RESERVATION; WOLF MTS,45.2501504,-107.1461823,KU,1905,2
Mungersville,47.0198251,-109.8805857,KU,1889,2
No locality,47.0198251,-109.8805857,KU,1886,2
No locality,47.0198251,-109.8805857,KU,1887,2
No locality,47.266,-104.898,KU,1883,2
No locality,47.29,-104.87,KU,1886,2
Quartzite ridge,46.9058,-110.8548,KU,1939,2
"RAYMOND, 7 MI S OF",48.7749582,-104.5801511,KU,1948,2
"ST MARY, 7 MI S OF; E FACE OF DIVIDE MT; TIMBERLINE",48.6671,-113.3821,KU,1946,2
White sulfur springs,46.5481193,-110.9058082,KU,1949,2
5 mi W Billings,45.783749,-108.604996,FMNH,1949,1
"Augusta, 6.5 Mi N, 17.125 Mi W Of",47.58,-112.76,KU,1949,1
"BELTON, 1.4 MI S OF",46.585,-110.835,KU,1949,1
"BROWNING, 13 MI N, 20 MI W OF",48.74504,-113.44943,KU,1948,1
"Babb, 1.5 Mi S, 2.5 Mi W Of",48.83,-113.49,KU,1949,1
"Ballantine, 10 Mi S, Girl Creek",45.7293,-108.296,USNM,1917,1
Billings,45.783249,-108.500687,FMNH,1940,1
Billings,45.783328,-108.500003,UCM,1909,1
Busby,45.5372,-106.9556,KU,1947,1
"CULBERTSON, 1 MI S, 2 MI E OF",48.1297884,-104.4735894,KU,1948,1
"Cut Bank, 1 Mi W Of",48.63,-112.34,KU,1948,1
EDGAR. 10 MI E OF,45.4648396,-108.6457282,KU,1917,1
"GLACIER NAT'L PARK, ST. MARY",48.75161,-113.43143,ASU,1926,1
"GREAT FALLS, 42 MI S OF",46.9104154,-111.2840246,KU,1949,1
"GREAT FALLS, 45 MI S OF",46.8665155,-111.2844239,KU,1949,1
"Gardiner, Park Co., Montana, USA",47.0003,-109.751,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",1941,1
Glasgow,48.1967893,-106.6366164,KU,1919,1
"LEWISTOWN, 7 MI S, 9 MI E OF; JUDITH MOUNTAINS",47.16383,-109.23754,KU,1949,1
"LIVINGSTON, 7 MI S, 12 MI E OF; W BOULDER ROAD",45.56104,-110.313,KU,1947,1
"LIVINGSTON, 7 MI S, 14 MI E OF; W BOULDER ROAD",45.56104,-110.2717,KU,1947,1
Livingston,45.662434,-110.561066,FMNH,1938,1
Livingston area,45.616667,-110.55,UCLA,1920,1
Lost horse Ck. Bitterroot,46.679,-110.044,NBM,1947,1
"MEDICINE LAKE, 3 MI S OF",48.4554583,-104.5047446,KU,1948,1
"MONARCH, 9 MI S OF",46.96802,-110.8386,KU,1946,1
Miles city,46.4083,-105.8406,KU,1948,1
Mission creek,45.7142265,-110.3886812,KU,1947,1
Mungersville,47.0198251,-109.8805857,KU,1888,1
N/A,46.437,-109.837,UF,1949,1
No locality,47.0198251,-109.8805857,KU,1888,1
Nye,45.435242,-109.812035,FMNH,1938,1
"PRYOR CREEK, 25 MI W OF",45.7086368,-108.8814382,KU,1916,1
PRYOR MOUNTAINS; HEAD OF SNELL CREEK,45.1402,-108.4176,KU,1947,1
Pinele,45.3033,-104.938,KU,1944,1
Porcupine river,47.29,-104.87,KU,1886,1
"SAND SPRINGS, 10 MI W OF",47.1008,-107.6976,KU,1949,1
"SAND SPRINGS, 18.5 MI W OF",47.1008,-107.8778,KU,1949,1
"SAND SPRINGS, 5 MI E OF",47.1008,-107.3796,KU,1949,1
"ST MARY, 7 MI S OF; E FACE OF DIVIDE MT, TIMBERLINE",48.6671,-113.3821,KU,1946,1
"ST. MARY, GLACIER NAT'L PARK",48.74874,-113.43727,ASU,1926,1
"TENDERFOOT CREEK, HEAD",46.9176185,-110.8486122,KU,1939,1
"Twodot, Amer Ranch",46.424355,-110.072937,FMNH,1932,1
Winnecook,46.4,-109.663333,SBMNH,1949,1
"YELLOWSTONE, MISSOURI DIVIDE",47.266,-104.898,KU,1886,1
near Jordan,47.320801,-106.910027,FMNH,1916,1
NA,47.0005,-109.875,NCSM,1901,1
