locality,decimalLat,decimalLon,institutio,year,n
Concrete,48.44,-97.56,NA,1923,1
Crozier,47.828611,-98.413889,SBMNH,1905,1
Deering,48.395463,-101.048813,ANSP,1930,1
Deering; E,48.395556,-101.039444,SBMNH,1930,1
Deering; SW from,48.391667,-101.056111,SBMNH,1929,1
Denbigh; N,48.318333,-100.583333,SBMNH,1929,1
Devil's Lake,48.112778,-98.865,SBMNH,1884,1
"Devil's Lake region, North Dakota, USA",47.5003,-100.0007,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1899,1
"Devil's Lake, North Dakota, USA",47.5003,-100.0007,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1902,1
Devils L.,48.02806,-98.93139,MCZ,1899,1
Devils L.,48.11278,-98.865,MCZ,1899,1
Devils Lake,48.03,-98.93,NBM,1884,1
Devils Lake,48.03333,-98.93333,MCZ,1901,1
Devils Lake,48.0518,-98.916801,UMMZ,1919,1
Devils Lake,48.0518,-98.916801,UMMZ,1929,1
Devils Lake,48.0518,-98.916801,UMMZ,1930,1
Devils Lake,48.0518,-98.916801,UMMZ,1947,1
Devils Lake,48.116667,-98.866667,UMMZ,1920,1
"Devils Lake, Rock Pile",48.116665,-98.866669,UMMZ,1919,1
"Dickinson, North Dakota, USA",47.5003,-100.0007,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1892,1
Esmond,48.038056,-99.765,SBMNH,1919,1
Esmond,48.038056,-99.765,SBMNH,1920,1
Fort Rice,46.52611,-100.58389,MCZ,1873,1
"Fort Totten, Benson county",47.59,-98.59,NA,1922,1
GRAHAM'S ISLAND,47.468186,-100.302372,ANSP,1894,1
GRAHAM'S ISLAND,47.468186,-100.302372,ANSP,1897,1
"Glen Ullin, North Dakota, USA",47.5003,-100.0007,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1889,1
"Goose Lake, North Dakota",47.8258,-98.9732,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1924,1
Goose Lake; 15 mi northeast of Deering,48.416668,-100.73333,SBMNH,1926,1
Goose Lake; Near Deering,48.428333,-100.743056,SBMNH,1922,1
Grafton,48.24,-97.24,NA,1913,1
Grafton,48.24,-97.24,NA,1918,1
Grafton,48.24,-97.24,NA,1922,1
Grafton,48.24,-97.24,NA,1923,1
Grafton,48.24,-97.24,NA,1934,1
Grafton,48.4083,-97.4083,NA,1914,1
Grafton,48.4083,-97.4083,NA,1926,1
Grafton,48.4084,-97.4084,NA,1914,1
Grafton,48.4084,-97.4084,NA,1924,1
Grafton,48.4084,-97.4084,NA,1931,1
Grafton,48.41222,-97.41056,MCZ,1901,1
Grafton,48.41222,-97.41056,MCZ,1923,1
Grafton,48.41222,-97.41056,MCZ,1924,1
Grafton,48.41222,-97.41028,MCZ,1923,1
Grafton,48.41222,-97.41028,TCWC,1935,1
Grafton,48.412888,-97.411056,ANSP,1922,1
Grafton,48.416668,-97.416664,UMMZ,1911,1
Grafton,48.416668,-97.416664,UMMZ,1917,1
Grafton,48.416668,-97.416664,UMMZ,1918,1
Grafton,48.416668,-97.416664,UMMZ,1919,1
Grafton,48.416668,-97.416664,UMMZ,1920,1
Grafton,48.416668,-97.416664,UMMZ,1944,1
"Grafton, North Dakota, USA",47.5003,-100.0007,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1924,1
"Grafton, North Dakota, USA",47.5003,-100.0007,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1926,1
"Grafton, North Dakota, USA",47.5003,-100.0007,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1927,1
"Grafton, North Dakota, USA",47.5003,-100.0007,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1928,1
"Grafton, North Dakota, USA",47.5003,-100.0007,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1931,1
Grahams island,48.037233,-98.99025,ANSP,1896,1
Granville; NE of,48.273889,-100.837778,SBMNH,1929,1
Head of Heart R.,46.93694,-103.23028,MCZ,1873,1
Head of the Heart River,46.7675,-100.84167,MCZ,1873,1
Heart R.,46.7675,-100.84167,MCZ,1873,1
Heart River,46.7675,-100.84167,MCZ,1873,1
"Howery's Grove, 3 miles southeast of Antler",48.940123,-101.235176,DMNS,1932,1
Huron,48.765242,-98.742371,ANSP,1881,1
Lac Aux Morts,48.2448,-98.91266,NHMD,1901,1
"Lac aux Morts, near Cando",48.375,-99.175,NA,1901,1
Lakota,47.91504,-98.40914,MCZ,1902,1
Lakota,48.042776,-98.336216,ANSP,1903,1
Larimore,47.908889,-97.623889,SBMNH,1898,1
"Marston Moor, North Dakota, USA",47.5003,-100.0007,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1913,1
Minnewaukam,48.0667,-99.2333,NA,1895,1
Minot,48.232778,-101.295833,SBMNH,1902,1
NE of Deering,48.383335,-101.050003,SBMNH,1929,1
NORTH OF LITTLE CAYENNE R.,47.279229,-100.50293,ANSP,1875,1
"Nelson, North Dakota, USA",47.5003,-100.0007,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1901,1
"North Dakota, no further locality?",47.5,-100,NA,1880,1
"North Dakota, no further locality?",47.5,-100,NA,1909,1
"Northgate, Burke county",48.9917,-102.2583,NA,1925,1
Pembina,48.966667,-97.25,UCLA,1873,1
Pembina,48.96809,-97.244644,ANSP,1878,1
Pembina,48.96809,-97.244644,ANSP,1881,1
Petersburg,48.01111,-98.00111,MCZ,1935,1
Pleasant Lake,48.361389,-99.802778,SBMNH,1921,1
Riga; N,48.296667,-100.7075,SBMNH,1929,1
Rock L.,48.82667,-99.205,MCZ,1895,1
Rock Lake,48.790278,-99.244444,SBMNH,1894,1
Rock Lake,48.79028,-99.24583,MCZ,1895,1
"Rock Lake, Towner, North Dakota, USA",47.5003,-100.0007,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1895,1
"SW from Dearing, North Dakota, USA",47.5003,-100.0007,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1927,1
SWEETWATER; SWEET WATER LAKE,48.210718,-98.813782,ANSP,1895,1
Sawyer,48.090235,-101.051216,ANSP,1911,1
Sawyer,48.090235,-101.051216,ANSP,1921,1
Sherwood,48.961944,-101.627778,SBMNH,1919,1
"Stark, North Dakota, USA",47.5003,-100.0007,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1898,1
Stump Lake,47.9,-98.38333,MCZ,1901,1
"Stump Lake, North Dakota, USA",47.5003,-100.0007,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1893,1
"Stump Lake, North Dakota, USA",47.5003,-100.0007,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1901,1
Sweet Water Lake,48.210261,-98.813782,ANSP,1895,1
Sweet Water Lake,48.21667,-98.81667,MCZ,1901,1
Sweet Water Lakes,48.216667,-98.816666,SBMNH,1900,1
Sweetwater Lake,48.21533,-98.82381,NHMD,1901,1
Sweetwater Lake,48.21667,-98.82222,MCZ,1901,1
Sweetwater Lake,48.216705,-98.822594,ANSP,1896,1
"Sweetwater Lake, Ramsey Co., South Dakota",48.2153,-98.8238,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1899,1
Turtle Mts.,48.95,-100.08333,MCZ,1895,1
Turtle Mts.; Carpenter Lake,48.959444,-99.9725,SBMNH,1928,1
Turtle Mts.; Willow Lake,48.921389,-100.144722,SBMNH,1931,1
Upham,48.58167,-100.72778,TCWC,1940,1
"Upham, 3 Mi N",48.633335,-100.73333,UMMZ,1935,1
"Upham, near",48.583332,-100.73333,UMMZ,1936,1
"Upham, near",48.583332,-100.73333,UMMZ,1941,1
Wahpeton,46.271667,-96.608611,SBMNH,1916,1
Walhalla,48.55,-97.55,NA,1925,1
Walhalla,48.923333,-97.917833,UMMZ,1913,1
Walhalla,48.923333,-97.917833,UMMZ,1929,1
Walhalla,48.923333,-97.917833,UMMZ,1933,1
Walhalla,48.923333,-97.917833,UMMZ,1937,1
Westhope; SE at Mouse River,48.891389,-100.961944,SBMNH,1925,1
Williston,48.153725,-103.625771,SDNHM,1921,1
no specific locality,47.466667,-98.916667,UMMZ,1904,1
no specific locality,47.733333,-98.916667,UMMZ,1910,1
no specific locality,48.116665,-99.26667,UMMZ,1925,1
no specific locality,48.216667,-100.650002,UMMZ,1936,1
"northeast of Sweet Water Lakes, Ramsey, North Dakota, USA",47.5003,-100.0007,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1897,1
"on west side of Tellers Bay, an arm of Devils Lake, North Dakota, USA",47.5003,-100.0007,"Ohio State University - Bird Division, Columbus, OH (OSUM)",1897,1
NA,47.468186,-100.302372,ANSP,1878,1
NA,47.468186,-100.302372,ANSP,1896,1
NA,47.468186,-100.302372,ANSP,1921,1
NA,47.88333,-98.18333,MCZ,1901,1
NA,48.07,-99.36,YPM,1922,1
NA,48.22916,-98.747395,ANSP,1897,1
NA,48.326715,-101.60223,ANSP,1910,1
NA,48.37,-97.76,MZH,1940,1
NA,48.415,-97.42,MZH,1939,1
